Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
CTRA,Ciputra Development Tbk.,1994-03-28,18560303397.0,Utama,Properties & Real Estate,1000,18560303397000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
CTTH,Citatah Tbk.,1996-07-03,1230839821.0,Pengembangan,Industrials,50,61541991050.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DADA,Diamond Citra Propertindo Tbk.,2020-02-14,7178146908.0,Pengembangan,Properties & Real Estate,50,358907345400.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-02-14,2022-12-19
DART,Duta Anggada Realty Tbk.,1990-05-08,3141390962.0,Utama,Properties & Real Estate,174,546602027388.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DAYA,Duta Intidaya Tbk.,2016-06-28,2420547025.0,Pengembangan,Consumer Non-Cyclicals,214,517997063350.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2016-06-28,2022-12-19
DCII,DCI Indonesia Tbk.,2021-01-06,2383745900.0,Pengembangan,Technology,37175,88615753832500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-01-06 09:00:00,2022-12-19 15:00:00,2021-01-06,2022-12-19
DEAL,Dewata Freightinternational Tb,2018-11-11,1146170959.0,Pengembangan,Transportation & Logistic,50,57308547950.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-11-12,2022-12-19
DEFI,Danasupra Erapacific Tbk.,2001-07-06,687266666.0,Pengembangan,Financials,1455,999972999030.0,2021-11-01 09:00:00,2022-01-07 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-07-06,2022-12-16
DEPO,Caturkarda Depo Bangunan Tbk.,2021-11-25,6790000000.0,Utama,Consumer Cyclicals,478,3245620000000.0,2021-11-25 09:00:00,2022-12-19 15:59:00,2021-11-25 09:00:00,2022-12-19 15:00:00,2021-11-25,2022-12-19
DEWA,Darma Henwa Tbk,2007-09-26,21853733792.0,Utama,Energy,51,1114540423392.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2007-09-26,2022-12-19
DEWI,Dewi Shri Farmindo Tbk.,2022-07-18,2000000000.0,Pengembangan,Consumer Non-Cyclicals,212,424000000000.0,2022-07-18 09:00:00,2022-12-19 15:59:00,2022-07-18 09:00:00,2022-12-19 15:00:00,2022-07-18,2022-12-19
DFAM,Dafam Property Indonesia Tbk.,2018-04-27,1899852850.0,Pengembangan,Consumer Cyclicals,95,180486020750.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-04-27,2022-12-19
DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19,5541165000.0,Utama,Infrastructures,108,598445820000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2007-12-19,2022-12-19
DGNS,Diagnos Laboratorium Utama Tbk,2021-01-15,1250000000.0,Pengembangan,Healthcare,252,315000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-01-15 09:00:00,2022-12-19 15:00:00,2021-01-15,2022-12-19
DIGI,Arkadia Digital Media Tbk.,2018-09-18,1625000000.0,Pengembangan,Consumer Cyclicals,50,81250000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-09-18,2022-12-19
DILD,Intiland Development Tbk.,1991-09-04,10365854185.0,Utama,Properties & Real Estate,169,1751829357265.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DIVA,Distribusi Voucher Nusantara T,2018-11-27,1428571400.0,Pengembangan,Technology,800,1142857120000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-11-27,2022-12-19
DKFT,Central Omega Resources Tbk.,1997-11-21,5638246600.0,Pengembangan,Basic Materials,110,620207126000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DLTA,Delta Djakarta Tbk.,1984-02-27,800659050.0,Utama,Consumer Non-Cyclicals,3760,3010478028000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DMAS,Puradelta Lestari Tbk.,2015-05-29,48198111100.0,Utama,Properties & Real Estate,158,7615301553800.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2015-05-29,2022-12-19
DMMX,Digital Mediatama Maxima Tbk.,2019-10-21,7692307700.0,Pengembangan,Technology,975,7500000007500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-10-21,2022-12-19
DMND,Diamond Food Indonesia Tbk.,2020-01-22,9468359000.0,Utama,Consumer Non-Cyclicals,790,7480003610000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-01-22,2022-12-19
DNAR,Bank Oke Indonesia Tbk.,2014-07-11,13816569569.0,Utama,Financials,173,2390266535437.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2014-07-11,2022-12-19
DNET,Indoritel Makmur Internasional,2000-12-11,14184000000.0,Pengembangan,Financials,3850,54608400000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DOID,Delta Dunia Makmur Tbk.,2001-06-15,8621173232.0,Utama,Energy,312,2689806048384.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-06-15,2022-12-19
DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08,331129952.0,Utama,Basic Materials,398,131789720896.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DPUM,Dua Putra Utama Makmur Tbk.,2015-12-08,4175000000.0,Utama,Consumer Non-Cyclicals,50,208750000000.0,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2015-12-08,2022-12-16
DRMA,Dharma Polimetal Tbk.,2021-12-20,4705882300.0,Utama,Consumer Cyclicals,600,2823529380000.0,2021-12-20 09:00:00,2022-12-19 15:59:00,2021-12-20 09:00:00,2022-12-19 15:00:00,2021-12-20,2022-12-19
DSFI,Dharma Samudera Fishing Indust,2000-03-24,1857135500.0,Utama,Consumer Non-Cyclicals,91,168999330500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DSNG,Dharma Satya Nusantara Tbk.,2013-06-14,10599842400.0,Utama,Consumer Non-Cyclicals,620,6571902288000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2013-06-14,2022-12-19
DSSA,Dian Swastatika Sentosa Tbk,2009-12-10,770552320.0,Utama,Energy,39800,30667982336000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2009-12-10,2022-12-16
DUCK,Jaya Bersama Indo Tbk.,2018-10-10,1283330000.0,Utama,Consumer Cyclicals,176,225866080000.0,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2018-10-10,2022-12-16
DUTI,Duta Pertiwi Tbk,1994-11-02,1850000000.0,Pengembangan,Properties & Real Estate,4000,7400000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DVLA,Darya-Varia Laboratoria Tbk.,1994-11-11,1120000000.0,Utama,Healthcare,2390,2676800000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
DWGL,Dwi Guna Laksana Tbk.,2017-12-13,9244722556.0,Pengembangan,Energy,185,1710273672860.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2017-12-13,2022-12-19
DYAN,Dyandra Media International Tb,2013-03-25,4272964279.0,Utama,Industrials,88,376020856552.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2013-03-25,2022-12-19
EAST,Eastparc Hotel Tbk.,2019-07-09,4126366528.0,Pengembangan,Consumer Cyclicals,93,383752087104.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-07-09,2022-12-19
ECII,Electronic City Indonesia Tbk.,2013-07-03,1334333000.0,Pengembangan,Consumer Cyclicals,498,664497834000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2013-07-03,2022-12-19
EDGE,Indointernet Tbk.,2021-02-08,404050000.0,Pengembangan,Technology,19200,7757760000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-02-08 09:00:00,2022-12-19 15:00:00,2021-02-08,2022-12-19
EKAD,Ekadharma International Tbk.,1990-08-14,698775000.0,Utama,Basic Materials,278,194259450000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ELPI,Pelayaran Nasional Ekalya Purn,2022-08-08,7412000000.0,Utama,Transportation & Logistic,208,1541696000000.0,2022-08-08 09:00:00,2022-12-19 15:59:00,2022-08-08 09:00:00,2022-12-19 15:00:00,2022-08-08,2022-12-19
ELSA,Elnusa Tbk.,2008-02-06,7298500000.0,Utama,Energy,316,2306326000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2008-02-06,2022-12-19
ELTY,Bakrieland Development Tbk.,1995-10-30,43521913019.0,Utama,Properties & Real Estate,50,2176095650950.0,2021-11-22 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
EMDE,Megapolitan Developments Tbk.,2011-01-12,3350000000.0,Pengembangan,Properties & Real Estate,129,432150000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2011-01-12,2022-12-16
EMTK,Elang Mahkota Teknologi Tbk.,2010-01-12,61241751483.0,Utama,Technology,1015,62160377755245.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2010-01-12,2022-12-19
ENAK,Champ Resto Indonesia Tbk.,2022-02-08,2166666800.0,Pengembangan,Consumer Cyclicals,1925,4170833590000.0,2022-02-08 09:00:00,2022-12-19 15:59:00,2022-02-08 09:00:00,2022-12-19 15:00:00,2022-02-08,2022-12-19
ENRG,Energi Mega Persada Tbk.,2004-06-07,24821230250.0,Pengembangan,Energy,306,7595296456500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2004-06-07,2022-12-19
ENVY,Envy Technologies Indonesia Tb,2019-07-08,1800000000.0,Pengembangan,Technology,50,90000000000.0,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2019-07-08,2022-12-16
ENZO,Morenzo Abadi Perkasa Tbk.,2020-09-14,2162545448.0,Pengembangan,Consumer Non-Cyclicals,63,136240363224.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-09-14 09:00:00,2022-12-19 15:00:00,2020-09-14,2022-12-19
EPAC,Megalestari Epack Sentosaraya ,2020-07-01,3303400000.0,Pengembangan,Basic Materials,50,165170000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-07-01 09:00:00,2022-12-19 15:00:00,2020-07-01,2022-12-19
EPMT,Enseval Putera Megatrading Tbk,1994-08-01,2708640000.0,Pengembangan,Consumer Non-Cyclicals,2700,7313328000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ERAA,Erajaya Swasembada Tbk.,2011-12-14,15950000000.0,Utama,Consumer Cyclicals,398,6348100000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2011-12-14,2022-12-19
ERTX,Eratex Djaja Tbk.,1990-08-21,1286539792.0,Pengembangan,Consumer Cyclicals,314,403973494688.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ESIP,Sinergi Inti Plastindo Tbk.,2019-11-14,1109936024.0,Pengembangan,Basic Materials,58,64376289392.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-11-14,2022-12-19
ESSA,Surya Esa Perkasa Tbk.,2012-02-01,15660887000.0,Utama,Basic Materials,1005,15739191435000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2012-02-01,2022-12-19
ESTA,Esta Multi Usaha Tbk.,2020-03-09,630000000.0,Pengembangan,Consumer Cyclicals,141,88830000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-03-09,2022-12-19
ESTI,Ever Shine Tex Tbk.,1992-10-13,2015208720.0,Utama,Consumer Cyclicals,54,108821270880.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ETWA,Eterindo Wahanatama Tbk,1997-05-16,4668671400.0,Utama,Energy,236,1101806450400.0,2022-08-29 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
EURO,Estee Gold Feet Tbk.,2022-08-08,2500000000.0,Akselerasi,Consumer Non-Cyclicals,310,775000000000.0,2022-08-08 09:00:00,2022-12-19 15:59:00,2022-08-08 09:00:00,2022-12-19 15:00:00,2022-08-08,2022-12-19
EXCL,XL Axiata Tbk.,2005-09-29,10724674776.0,Utama,Infrastructures,2050,21985583290800.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2005-09-29,2022-12-19
FAPA,FAP Agri Tbk.,2021-01-04,3629411800.0,Pengembangan,Consumer Non-Cyclicals,4290,15570176622000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-01-04 09:00:00,2022-12-19 15:00:00,2021-01-04,2022-12-19
FAST,Fast Food Indonesia Tbk.,1993-05-11,3990277158.0,Pengembangan,Consumer Cyclicals,845,3371784198510.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
FASW,Fajar Surya Wisesa Tbk.,1994-12-19,2477888787.0,Utama,Basic Materials,6100,15115121600700.0,2021-12-27 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
FILM,MD Pictures Tbk.,2018-08-07,9511217000.0,Utama,Consumer Cyclicals,2040,19402882680000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-08-07,2022-12-19
FIMP,Fimperkasa Utama Tbk.,2021-04-09,400000975.0,Akselerasi,Infrastructures,73,29200071175.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2021-04-09 09:00:00,2022-12-19 15:00:00,2021-04-09,2022-12-19
FIRE,Alfa Energi Investama Tbk.,2017-06-09,1475363179.0,Pengembangan,Energy,174,256713193146.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2017-06-09,2022-12-19
FISH,FKS Multi Agro Tbk.,2002-01-18,480000000.0,Pengembangan,Consumer Non-Cyclicals,7000,3360000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2002-01-18,2022-12-19
FITT,Hotel Fitra International Tbk.,2019-06-11,726130099.0,Pengembangan,Consumer Cyclicals,428,310783682372.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-06-11,2022-12-19
FLMC,Falmaco Nonwoven Industri Tbk.,2021-07-08,781250000.0,Akselerasi,Consumer Non-Cyclicals,79,61718750000.0,2021-11-01 09:00:00,2022-07-29 15:59:00,2021-07-08 09:00:00,2022-07-29 16:00:00,2021-07-08,2022-12-16
FMII,Fortune Mate Indonesia Tbk,2000-06-30,2721000000.0,Pengembangan,Properties & Real Estate,290,789090000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-16
FOOD,Sentra Food Indonesia Tbk.,2019-01-08,650000000.0,Pengembangan,Consumer Non-Cyclicals,124,80600000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-01-08,2022-12-19
FORU,Fortune Indonesia Tbk,2002-01-17,465224000.0,Pengembangan,Consumer Cyclicals,240,111653760000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2002-01-17,2022-12-19
FORZ,Forza Land Indonesia Tbk.,2017-04-28,1984009887.0,Utama,Properties & Real Estate,50,99200494350.0,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2017-04-28,2022-12-16
FPNI,Lotte Chemical Titan Tbk.,2002-03-21,5566414000.0,Pengembangan,Basic Materials,228,1269142392000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2002-03-21,2022-12-19
FREN,Smartfren Telecom Tbk.,2006-11-29,308106840243.0,Utama,Infrastructures,65,20026944615795.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2006-11-29,2022-12-19
FUJI,Fuji Finance Indonesia Tbk.,2019-07-09,1105000000.0,Pengembangan,Financials,615,679575000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-07-09,2022-12-19
GAMA,Aksara Global Development Tbk.,2012-07-11,10011027656.0,Utama,Properties & Real Estate,50,500551382800.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2012-07-11,2022-12-16
GDST,Gunawan Dianjaya Steel Tbk.,2009-12-23,9242500000.0,Pengembangan,Basic Materials,185,1709862500000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2009-12-23,2022-12-19
GDYR,Goodyear Indonesia Tbk.,1980-12-22,410000000.0,Utama,Consumer Cyclicals,1335,547350000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
GEMA,Gema Grahasarana Tbk.,2002-08-12,1600000000.0,Pengembangan,Consumer Cyclicals,262,419200000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2002-08-12,2022-12-19
GEMS,Golden Energy Mines Tbk.,2011-11-17,5882353000.0,Utama,Energy,7125,41911765125000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2011-11-17,2022-12-19
GGRM,Gudang Garam Tbk.,1990-08-27,1924088000.0,Utama,Consumer Non-Cyclicals,19050,36653876400000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
GGRP,Gunung Raja Paksi Tbk.,2019-09-19,12111376157.0,Pengembangan,Basic Materials,525,6358472482425.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-09-19,2022-12-19
GHON,Gihon Telekomunikasi Indonesia,2018-04-09,550000000.0,Utama,Infrastructures,1925,1058750000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-04-09,2022-12-19
GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11,25886576254.0,Utama,Transportation & Logistic,203,5254974979562.0,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2011-02-11,2022-12-16
GJTL,Gajah Tunggal Tbk.,1990-05-08,3484800000.0,Utama,Consumer Cyclicals,555,1934064000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
